product_id,タイトル,商品種別,出演声優,シリーズ,レーベル,セール価格,通常価格,割引率,割引中,NEW,関連ワード,収録数,収録内容,商品URL,出演声優_詳細,商品種別_詳細,発売日
148089,《配信開始は2026年6月26日0:00》先生、痛くしないでOmnibusStory　『源慧史～おはようからおやすみまで～』【出演声優：茶介】,配信限定シチュエーション,茶介,先生シリーズ,Honey Mellow,2574,2860,10%,True,True,医者 病院 オフィス 先輩 恋人同士 ダミーヘッドマイク ポケドラ限定特典,2,先生、痛くしないでOmnibusStory　『源慧史～おはようからおやすみまで～』【出演声優：茶介】 / 先生、痛くしないでOmnibusStory　『源慧史～おはようからおやすみまで～』《ポケドラ限定特典》,https://pokedora.com/products/detail.php?product_id=148089,茶介,配信限定シチュエーション,2026-06-26
148087,先生、痛くしないでOmnibusStory　『源慧史～おはようからおやすみまで～』【出演声優：茶介】,配信限定シチュエーション,茶介,先生シリーズ,Honey Mellow,,,,False,True,医者 病院 オフィス 先輩 恋人同士 ダミーヘッドマイク ポケドラ限定特典,,,https://pokedora.com/products/detail.php?product_id=148087,茶介,配信限定シチュエーション,2026-06-26
148078,《配信開始は2026年6月26日0:00》渋澤先輩は愛おしくて厄介で　御曹司の忘れられない初恋【出演声優：佐和真中】,配信限定シチュエーション,佐和真中,,メイリリーキス,,,,False,True,俺様 溺愛 強引系 ヤリチン/プレイボーイ あまあま ティーンズラブ 再会 甘やかし すれ違い 中出し 生挿入 言葉責め クンニ 耳舐め 色仕掛け ダミーヘッドマイク あさぎ千夜春 逆月酒乱 配信限定 ポケドラ限定特典,,,https://pokedora.com/products/detail.php?product_id=148078,佐和真中,配信限定シチュエーション,
147241,【急募】ワケあり旅館バイト。 恐怖を快感で塗り潰して…甘々寸止め愛撫→我慢の限界・本気ピストン【隠れ元ヤクザ/甘S/連続絶頂】【出演声優：初時チェリー】,配信限定シチュエーション,初時チェリー,,ミルキースパイス,1485,1980,25%,True,True,クリ責め 焦らし 耳舐め 連続絶頂 溺愛 クンニ 本馬みりん 佐倉作 10° 配信限定 特典SS,,,https://pokedora.com/products/detail.php?product_id=147241,初時チェリー,配信限定シチュエーション,
146592,それはささやかな恋のはじまり 綿矢翔真【出演声優：彩和矢】,配信限定シチュエーション,彩和矢,それはささやかな恋のはじまり,アプリコットレーベル,,,,False,True,シリーズもの ダミーヘッドマイク 配信限定 めいみ まいね ポケドラ限定特典,,,https://pokedora.com/products/detail.php?product_id=146592,彩和矢,配信限定シチュエーション,2026-06-12
148014,暴漢から助けてくれたお兄さんにエロ願望を見抜かれて〇教されていますｖ【出演声優：主水Ash】,配信限定シチュエーション,主水Ash,,Another,1386,1980,30%,True,True,フェラチオ 乳首責め オナニー イラマチオ クリ責め 口内射精 クンニ 媚薬 ローション 連続絶頂 中出し 潮吹き おもらし スパンキング 放尿 お風呂 DANKE 芳乃カオル 配信限定,,,https://pokedora.com/products/detail.php?product_id=148014,主水Ash,配信限定シチュエーション,
147983,【超限界20回イキ我慢】おまんこ〇教♪焦らしまくり彼氏～可愛い顔して鬼〇Sな彼に20回イキ我慢させられちゃう話「イクなイクなイクな、我慢我慢我慢…♪」【出演声優：三橋渡】,配信限定シチュエーション,三橋渡,密着ラブラブ♡限界イキ我慢,密着ラビリンス,990,1320,25%,True,True,淫語/卑語 連続絶頂 玩具 恋人同士 クリ責め 焦らし 乳首責め 中出し 配信限定 柾 星雅紫苑,,,https://pokedora.com/products/detail.php?product_id=147983,三橋渡,配信限定シチュエーション,
147844,【えっち特化型】絶倫執着彼氏の嫉妬マシマシ膣イキSEX～100回イクまで離さない！快楽堕ち必至の連続脳イキ絶頂孕ませ体験～「あー…早くキミの事を〇したい…♪」【出演声優：一条ひらめ】,配信限定シチュエーション,一条ひらめ,,お耳の恋人,,,,False,False,連続絶頂 首輪/鎖 オフィス 恋人同士 クリ責め 言葉責め 潮吹き 配信限定 森乃ばんび crown,,,https://pokedora.com/products/detail.php?product_id=147844,一条ひらめ,配信限定シチュエーション,
147594,西園寺様の仰せのままに～絶倫御曹司の求愛セックス～【出演声優：羽柴礼】,配信限定シチュエーション,羽柴礼,,LOVEpoppo,,,,False,False,ASMR クンニ 手コキ 中出し 烏 いろは 配信限定,,,https://pokedora.com/products/detail.php?product_id=147594,羽柴礼,配信限定シチュエーション,
147451,おとなり以上、恋人未満　～激メロ営業部長・城の寵愛～【出演声優：茶介】,配信限定シチュエーション,茶介,おとなり以上,Honey Mellow,,,,False,False,年上 ラブコメ オフィス スパダリ あまあま シリーズもの バイノーラル ダミーヘッドマイク 配信限定 ポケドラ限定特典,,,https://pokedora.com/products/detail.php?product_id=147451,茶介,配信限定シチュエーション,2026-05-29
147222,君がそばにいてくれたから【出演声優：テトラポット登】,配信限定シチュエーション,テトラポット登,君にそばにいて欲しい,メイリリーキス,,,,False,False,上司 恋人同士 オフィス 溺愛 ダミーヘッドマイク ポケドラ限定特典 配信限定 井上美珠 駒城ミチヲ,,,https://pokedora.com/products/detail.php?product_id=147222,テトラポット登,配信限定シチュエーション,
146900,《巨根×独占欲×優しい先輩》Ｗｈｉｃｈ？【出演声優：五日天峰】,配信限定シチュエーション,五日天峰,Which?,Cranberry,,,,False,False,連続絶頂 耳舐め 巨根 あまあま クンニ ささやき 執着 オフィス フェラチオ 口内射精 配信限定 御門蓮 だお。 ポケドラ限定特典,,,https://pokedora.com/products/detail.php?product_id=146900,五日天峰,配信限定シチュエーション,2026-05-28
146889,《絶倫×耐久×ライバル同僚》Ｗｈｉｃｈ？【出演声優：冬ノ熊肉】,配信限定シチュエーション,冬ノ熊肉,Which?,Cranberry,,,,False,False,連続絶頂 耳舐め 巨根 あまあま クンニ ささやき オフィス 潮吹き 配信限定 御門蓮 だお。 ポケドラ限定特典,,,https://pokedora.com/products/detail.php?product_id=146889,冬ノ熊肉,配信限定シチュエーション,2026-05-28
147252,ばぶりーちぇんじ vol.3 献身的彼氏の熱情【出演声優：井伊筋肉】,配信限定シチュエーション,井伊筋肉,ばぶりーちぇんじ,バニラレシピ,,,,False,False,甘え 恋人同士 あまあま イチャイチャ 甘え攻め 甘やかし ダミーヘッドマイク バイノーラル さくら蒼 うにいくら ポケドラ限定特典 配信限定,,,https://pokedora.com/products/detail.php?product_id=147252,井伊筋肉,配信限定シチュエーション,
147525,そーちゃんのお人形遊び【出演声優：九財翼】,配信限定シチュエーション,九財翼,LovePsychelicBoy,pRessest Love,,,,False,False,マニアック 変態 アヘ顔 クリ責め 羞恥 執着 暖 しお 配信限定,,,https://pokedora.com/products/detail.php?product_id=147525,九財翼,配信限定シチュエーション,
147514,お義兄ちゃんに壊される【出演声優：八神仙】,配信限定シチュエーション,八神仙 直立不動,LovePsychelicBoy,pRessest Love,,,,False,False,バイノーラル ダミーヘッドマイク マニアック 変態 首輪/鎖 道具/異物 ヤンデレ 背徳 クリ責め 巡 nini8 パーバート・ウォッチマン 配信限定,,,https://pokedora.com/products/detail.php?product_id=147514,八神仙 直立不動,配信限定シチュエーション,
147535,《配信開始は2026年6月26日0:00》「もっとかわいいイキ顔見せてv」 ナイトクラブ潜入→お仕置きイキ我慢→溺愛逃避行→完全陥落【相思相愛】【出演声優：八神仙】,配信限定シチュエーション,八神仙 春藤アキラ,潜入ミッション,ミルキースパイス,1485,1980,25%,True,False,連続絶頂 媚薬 クリ責め 耳舐め あまあま 焦らし 配信限定 屋根瓦一華 佐倉作 10°,,,https://pokedora.com/products/detail.php?product_id=147535,八神仙 春藤アキラ,配信限定シチュエーション,
147277,【※ドM堕ち不可避】拗らせおマンコ拘束〇教♪～自己肯定感低めな幼馴染に歪まされてねっとり快楽堕ち【なんでそんな簡単に堕ちちゃうんだよ…】【出演声優：六条銀】,配信限定シチュエーション,六条銀,拗らせおマンコ拘束矯正,ラブドミネス,,,,False,False,淫語/卑語 連続絶頂 首輪/鎖 幼馴染 SM 中出し フェラチオ 夜行昴 シャホニー 配信限定 特典SS,,,https://pokedora.com/products/detail.php?product_id=147277,六条銀,配信限定シチュエーション,
147160,深夜残業シリーズ OMNIBUS STORY 『藤木礼央　～おはようからおやすみまで～』【出演声優：土門熱】,配信限定シチュエーション,土門熱,深夜残業,Queen Lily,,,,False,False,オフィス スパダリ 上司 恋人同士 同居/同棲 婚約者 ダミーヘッドマイク ポケドラ限定特典,,,https://pokedora.com/products/detail.php?product_id=147160,土門熱,配信限定シチュエーション,
144808,惑溺のアンドロマリウス ～Codename: Zwei～【出演声優：河村眞人】,シチュエーションCD,河村眞人,惑溺のアンドロマリウス,stellaworth（ステラワース）,,,,False,False,ダミーヘッドマイク 先輩 ロマンス 耳舐め クンニ 御門蓮 真嶋しま ポケドラ限定特典,,,https://pokedora.com/products/detail.php?product_id=144808,河村眞人,シチュエーションCD,2026-05-22
147295,【とろまん必死のおち△ぽ〇問】悪組織幹部の私のことが好きなくせに私を捕まえて〇問してきたので、真面目なヒーロー組織幹部の彼におちんぽ〇問【出演声優：丸尾マイク】,配信限定シチュエーション,丸尾マイク,,分からせ隊!,,,,False,False,鷹村マルシェ しお SM 触手 メス堕ち 配信限定,,,https://pokedora.com/products/detail.php?product_id=147295,丸尾マイク,配信限定シチュエーション,
147289,【涼介5！！スピンオフ】《あまあま×独占欲》シゴデキ彼氏のとろ甘〇禁でお仕置き連続絶頂ｖさせられる話【嫉妬だだ漏れのドSえっちでメロイキ止まらない!!!】【出演声優：三橋渡】,配信限定シチュエーション,三橋渡,Salone Estatico,team-h,,,,False,False,あまあま 溺愛 猫じゃらし 36 配信限定,,,https://pokedora.com/products/detail.php?product_id=147289,三橋渡,配信限定シチュエーション,
147133,「さいっ、こーに、ゾクゾクすんねん…」おキツネさんからは逃げられない。～拾われた異世界人はムラムラ幻惑セックスされる運命です【言霊全身支配×淫欲交尾】【出演声優：主水Ash】,配信限定シチュエーション,主水Ash,ガツガツ獣人からは逃げられない。,ケモノ王国,,,,False,False,淫語/卑語 連続絶頂 道具/異物 獣人/人外 着物/和服 ささやき 焦らし 滝川斉以 いとにっこ 配信限定,,,https://pokedora.com/products/detail.php?product_id=147133,主水Ash,配信限定シチュエーション,
147231,《配信開始は2026年7月17日0:00》想い想われ、悟り悟られ。-軽薄×純情-【出演声優：土門熱】,シチュエーションCD,土門熱,想い想われ、悟り悟られ。,stellaworth（ステラワース）,,,,False,False,ダミーヘッドマイク 年下 恋人同士 ラブコメ 耳舐め クンニ 葉月エリカ 小山田あたろう アニメイト特典,,,https://pokedora.com/products/detail.php?product_id=147231,土門熱,シチュエーションCD,2026-07-17
147262,【福岡で再会した元カレに執着され…】方言男子-福岡-【出演声優：安堂之】,配信限定シチュエーション,安堂之,方言男子,ラセル,,,,False,False,シリーズもの ASMR 方言 耳舐め 中出し わからせ 元カレ サラリーマン スーツ ポケドラ限定特典 配信限定 シャ絽太 阿佐ヶ谷かんろ,,,https://pokedora.com/products/detail.php?product_id=147262,安堂之,配信限定シチュエーション,
147183,【※性欲堕ち不可避※】ダウナー審問官のドスケベ断罪〇教SEX～ねっとり執着おマンコ責めでグチャトロ快楽堕ち【出演声優：三橋渡】,配信限定シチュエーション,三橋渡,,ラブドミネス,,,,False,False,淫語/卑語 首輪/鎖 言葉責め 潮吹き スパンキング 中出し 夜行昴 そのみ 配信限定 特典SS,,,https://pokedora.com/products/detail.php?product_id=147183,三橋渡,配信限定シチュエーション,
145188,龍の花は極道に咲く【出演声優：鷹取レイジ】,シチュエーションCD,鷹取レイジ,,UNDER SEVENTEEN,,,,False,False,年上 極道 筋肉 黒髪 おじさん 純愛 身分差 年の差 同居/同棲 両片思い 禁断の関係 自宅 お風呂 紳士 世話焼き 不器用 身長・体格差 色仕掛け 初恋 絶倫 クンニ 耳舐め 焦らし 羞恥 わからせ 九条べろ,,,https://pokedora.com/products/detail.php?product_id=145188,鷹取レイジ,シチュエーションCD,
144524,しごでき上司は甘えん坊ぽんこつダーリン 【出演声優：鷹取レイジ】,シチュエーションCD,鷹取レイジ,series libido,UNDER SEVENTEEN,,,,False,False,年上 上司 恋人同士 純愛 自宅 オフィス お風呂 ワンコ系 天然 あまあま イチャイチャ 甘え攻め 耳舐め 焦らし お仕置き サラリーマン 甘やかし にいみ 九条べろ,,,https://pokedora.com/products/detail.php?product_id=144524,鷹取レイジ,シチュエーションCD,
144495,私のリベル～限界社畜は異世界で自由に愛される～【出演声優：鷹取レイジ】,シチュエーションCD,鷹取レイジ,,UNDER SEVENTEEN,,,,False,False,イケメン 紳士 天然 甘え 王子様/王子系 王道 あまあま ファンタジー 甘やかし 癒し 九条べろ,,,https://pokedora.com/products/detail.php?product_id=144495,鷹取レイジ,シチュエーションCD,
146668,【配信限定】Missing3 －コンビニ－【出演声優：五日天峰】,配信限定シチュエーション,五日天峰,Missing,Hd-Style,,,,False,False,中出し 狂気 配信限定 天王州亜異 よしざわ未菜子,,,https://pokedora.com/products/detail.php?product_id=146668,五日天峰,配信限定シチュエーション,
146655,昭和インモラル【出演声優：土門熱】,配信限定シチュエーション,土門熱,,with_xoxo,,,,False,False,夫婦 ドS 王道 嫉妬 中出し ささやき 連続絶頂 クンニ 耳舐め フェラチオ クリ責め 乳首責め 耳責め イケボ ASMR バイノーラル ポケドラ限定特典 オキノニコ 微熱あむ ポケドラ完全限定作品,,,https://pokedora.com/products/detail.php?product_id=146655,土門熱,配信限定シチュエーション,
146287,【獣性解禁・めろめろビーム】耳元独占&妄想煽り ～好き隠し下手な穏やかお兄さんのギャップDAYS～【出演声優：凛星凛】,配信限定シチュエーション,凛星凛,,棺桶L.I.P,,,,False,False,年上 恋人同士 あまあま ほのぼの 淫語/卑語 がしゃ 羽月ころも 配信限定,,,https://pokedora.com/products/detail.php?product_id=146287,凛星凛,配信限定シチュエーション,2026-05-01
145959,嘘つきコインランドリー Vol.4 晴くんは最初の夜が終わらない【出演声優：富永修平】,配信限定シチュエーション,富永修平,嘘つきコインランドリー,ひつじぐも,,,,False,False,ダミーヘッドマイク バイノーラル 執着 クリ責め あまあま 幼馴染 童貞 純愛 初体験 イチャイチャ ノスタルジー 瓦礫ようかん 荒居すすぐ 配信限定 ポケドラ限定特典,,,https://pokedora.com/products/detail.php?product_id=145959,富永修平,配信限定シチュエーション,
146211,大正艶慕　～好色家の財閥令息・高遠咲久～【出演声優：一条ひらめ】,配信限定シチュエーション,一条ひらめ,大正艶慕,Queen Lily,,,,False,False,恋人同士 あまあま 着物/和服 初体験 年上 純愛 時代もの ポケドラ限定特典,,,https://pokedora.com/products/detail.php?product_id=146211,一条ひらめ,配信限定シチュエーション,2026-04-27
147149,特撮女子!転生したら悪の女幹部～忍者戦隊REDが気になってタマラナイｖ～【出演声優：八神仙】,配信限定シチュエーション,八神仙,特撮女子!,ラセル,,,,False,False,シリーズもの 転生 ASMR 耳舐め 中出し ポケドラ限定特典 配信限定 阿佐ヶ谷かんろ うにいくら,,,https://pokedora.com/products/detail.php?product_id=147149,八神仙,配信限定シチュエーション,
146862,【※自我崩壊注意】ドS執着×催〇＝おマンコ完全支配～変態占い師に『全て』を歪まされグチャトロ快楽堕ち【出演声優：羽柴礼】,配信限定シチュエーション,羽柴礼,,ラブドミネス,,,,False,False,連続絶頂 玩具 電車 イラマチオ 言葉責め 配信限定 特典SS モケ太郎 夜行昴,,,https://pokedora.com/products/detail.php?product_id=146862,羽柴礼,配信限定シチュエーション,
