work_id,title,circle,voice_actor,price,release_date,age_rating,genre
BJ02627897,【全身たっぷり二人に溺愛される…】あの日あの約束を《出演：土門熱・冬ノ熊肉》,Cranberry,土門熱,3630,2026-07-30,全年齢,バイノーラル/ダミヘ / 連続絶頂 / オフィス/職場 / ラブラブ/あまあま / クンニ / ささやき / 複数プレイ/乱交 / 耳舐め
BJ02627896,〈共通特典付き〉【全身たっぷり二人に溺愛される…】あの日あの約束を《出演：土門熱・冬ノ熊肉》,Cranberry,土門熱,3366,2026-07-30,全年齢,バイノーラル/ダミヘ / 連続絶頂 / オフィス/職場 / ラブラブ/あまあま / クンニ / ささやき / 複数プレイ/乱交 / 耳舐め
BJ02502784,【がるまに限定特典付】想い想われ、悟り悟られ。-軽薄×純情-,ステラワース,土門熱,3190,2026-07-17,全年齢,恋人同士 / ラブコメ / クンニ / 耳舐め
BJ02611969,先生、痛くしないでOmnibusStory　源慧史～おはようからおやすみまで～【がるまに限定特典付き】,Honey Mellow,茶介,2574,2026-06-26,全年齢,シリーズもの / バイノーラル/ダミヘ / 先輩/後輩 / 年上 / 医者 / オフィス/職場 / 純愛 / 日常/生活 / ラブコメ / ラブラブ/あまあま
BJ02610479,渋澤先輩は愛おしくて厄介で　御曹司の忘れられない初恋,Jパブリッシング,佐和真中,2750,2026-06-26,全年齢,バイノーラル/ダミヘ / 俺様 / 先輩/後輩 / ヤリチン/プレイボーイ / 色仕掛け / 恋人同士 / ラブラブ/あまあま
BJ02480296,【特典トラック付】とにかくちゅーがしたいキョウスケさん（出演：土門熱）,バニラレシピ,土門熱,3520,2026-06-24,全年齢,癒し / バイノーラル/ダミヘ / 同居 / 日常/生活 / ラブラブ/あまあま / クンニ / 羞恥/恥辱 / 中出し / 耳舐め / 乳首/乳輪
BJ02627828,【Obey Me!ASMR Birthdayシリーズ】case.ルシファー　～主導権は余韻の中に～,Obey Me!,山下和也,2200,2026-06-22,全年齢,ASMR / 癒し / 女性視点 / バイノーラル/ダミヘ / 俺様 / 天使/悪魔 / 恋人同士 / 日常/生活 / ファンタジー / ラブラブ/あまあま / 女性向け
BJ02616024,今夜も眠らNight -BIRTHDAY NIGHT 2025- 木崎敦,安眠朗読,坂田将吾,880,2026-06-21,全年齢,純愛 / 日常/生活 / ラブラブ/あまあま
BJ02626441,安眠朗読シリーズ 第二夜パック,安眠朗読,細谷佳正,6732,2026-06-19,全年齢,純愛 / 日常/生活 / ラブラブ/あまあま
BJ02626440,安眠朗読シリーズ 第一夜パック,安眠朗読,坂田将吾,4488,2026-06-19,全年齢,幼なじみ / 学生 / 純愛 / ラブラブ/あまあま
